"Below is a list of all schools that we've manually verified. If you see one that hasn't been included, please feel free to submit a PR."
21st Century Cyber Charter School                                                                                                        MS
Aalto University                                                                                                                         COLLEGE
Aarhus University                                                                                                                        COLLEGE
Abbey Park High School                                                                                                                   HS
Abbey Park Middle School                                                                                                                 MS
Abertay University                                                                                                                       COLLEGE
ABES Engineering College                                                                                                                 COLLEGE
Abington Senior High School                                                                                                              HS
Abraham Lincoln High School                                                                                                              HS
Abraham Lincoln High School - Philadelphia                                                                                               HS
Academy at Palumbo                                                                                                                       HS
Academy of Technology                                                                                                                    COLLEGE
"Acardia High School, Arizona"                                                                                                           HS
Achariya College of Engineering Technology                                                                                               COLLEGE
Acharya Institute of Technology                                                                                                          COLLEGE
"Acharya Narendra Dev College, University Of Delhi"                                                                                      COLLEGE
Achievement House Charter School - Online                                                                                                HS
Acropolis Institute of Technology & Research                                                                                             COLLEGE
ACT Academy Cyber Charter School                                                                                                         CS
Acton-Boxborough Regional High School                                                                                                    HS
Adelphi University                                                                                                                       COLLEGE
"Aditya Institute of Technology and Management (AITAM College, Tekkali)"                                                                 COLLEGE
Adlai E. Stevenson High School                                                                                                           HS
Advanced Math and Science Academy Charter School                                                                                         CS
AGH University of Science and Technology                                                                                                 COLLEGE
Agnes Scott College                                                                                                                      COLLEGE
Agora Cyber Charter School                                                                                                               CS
Alagappa Chettiar Government College of Engineering and Technology                                                                       COLLEGE
"Alagappa College of Technology, Anna University"                                                                                        COLLEGE
Alameda High School                                                                                                                      HS
Albany Medical College                                                                                                                   COLLEGE
Albany State University (GA)                                                                                                             COLLEGE
Albertian Institute of Science and Technology (AISAT)                                                                                    COLLEGE
Albright College                                                                                                                         COLLEGE
Alfa College                                                                                                                             COLLEGE
Aligarh Muslim University                                                                                                                COLLEGE
Allen High School                                                                                                                        HS
Alwar Institute of Engineering and Technology (AIET)                                                                                     COLLEGE
Ambala College of Engineering and Applied Research                                                                                       COLLEGE
Ambedkar Institute of Advanced Communication Technologies and Research (AIACTR)                                                          COLLEGE
AMC Engineering College                                                                                                                  COLLEGE
American Heritage School                                                                                                                 PS
American High School                                                                                                                     HS
"American River College, California"                                                                                                     COLLEGE
American University in Dubai                                                                                                             COLLEGE
"American University, Washington, D.C."                                                                                                  COLLEGE
Amherst College                                                                                                                          COLLEGE
Amity School of Engineering and Technology                                                                                               COLLEGE
Amity University                                                                                                                         COLLEGE
Amrita School of Engineering                                                                                                             COLLEGE
Amritsar College of Engineering & Technology                                                                                             COLLEGE
Anand Institute of Higher Technology                                                                                                     COLLEGE
Ancaster High School                                                                                                                     HS
Anchor Bay High School                                                                                                                   HS
Andhra University College of Engineering                                                                                                 COLLEGE
Andover Central High School                                                                                                              HS
Angadi Institute of Technology & Management (AITM)                                                                                       COLLEGE
Anil Neerukonda Institute of Technology and Sciences                                                                                     COLLEGE
Anjalai Ammal Mahalingam Engineering College                                                                                             COLLEGE
Anna University                                                                                                                          COLLEGE
"Ansal Technical Campus, Dr. A.P.J Abdul Kalam Technical University"                                                                     COLLEGE
"Anurag University, Ghatkesar"                                                                                                           COLLEGE
Apeejay Stya University                                                                                                                  COLLEGE
APPA Institute of Engineering and Technology                                                                                             COLLEGE
Appalachian State University                                                                                                             COLLEGE
APS College of Engineering                                                                                                               COLLEGE
Aravali Institute of Technical Studies                                                                                                   COLLEGE
"Arcadia High School, California"                                                                                                        HS
Arcadia University                                                                                                                       COLLEGE
Arizona State University                                                                                                                 COLLEGE
"Army Institute Of Technology, Pune"                                                                                                     COLLEGE
Art Institute of Philadelphia                                                                                                            COLLEGE
Arya College of Engineering & I.T.                                                                                                       COLLEGE
Asansol Engineering College                                                                                                              COLLEGE
Ashoka Institute of Technology and Management                                                                                            COLLEGE
"Asia Pacific Institute of Information Technology, Panipat"                                                                              COLLEGE
"Asia Pacific University of Information & Technology, Kuala Lumpur"                                                                      COLLEGE
Asian School of Business Management (ASBM University)                                                                                    COLLEGE
ASPIRA Bilingual Cyber Charter School                                                                                                    CS
